organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
new york state council of health system pharmacists,state council of health system pharmacists,new york,medical,pharmacist,other,medical ed,2004,2000
new york state council of health system pharmacists,state council of health system pharmacists,new york,medical,pharmacist,other,medical ed,2010,5000
new york state council of health system pharmacists,state council of health system pharmacists,new york,medical,pharmacist,other,medical ed,2013,2500
new york state council of health system pharmacists,state council of health system pharmacists,new york,medical,pharmacist,other,medical ed,2014,3500
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,general counsel,2003,1650
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,general counsel,2006,1050
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,general counsel,2011,825
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,general counsel,2012,520
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,iaf corp,2003,245
new york state education dept new york board of pharmacy,state board of pharmacy,new york,medical,pharmacist,other,medical ed,2007,600
new york state nurse association,state nurse association,new york,medical,nurse,other,conventions,2003,850
new york state pain society inc,state pain society inc,new york,other,,pain,conventions,2013,600
new york state pain society inc,state pain society inc,new york,other,,pain,conventions,2014,2000
new york state pain society inc,state pain society inc,new york,other,,pain,medical ed,2012,10000
new york state pain society inc,state pain society inc,new york,other,,pain,medical ed,2013,10000
new york state pain society inc,state pain society inc,new york,other,,pain,medical ed,2014,5000
new york state society of physician assistants,state society of physician assistants,new york,medical,physician assistant,other,conventions,2002,750
new york state society of physician assistants,state society of physician assistants,new york,medical,physician assistant,other,conventions,2003,1800
new york state society of physician assistants,state society of physician assistants,new york,medical,physician assistant,other,conventions,2004,850
new york state society of physician assistants,state society of physician assistants,new york,medical,physician assistant,other,medical ed,2003,3000
new york state society of physician assistants,state society of physician assistants,new york,medical,physician assistant,other,medical ed,2009,5000
norman mary jane md western medical directors assoc,norman mary jane western medical directors assoc,none,other,,other,medical ed,2003,4000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2002,775
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2003,950
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2004,900
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2011,2275
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2013,1075
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,conventions,2014,2600
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2002,30000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2003,51000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2009,4000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2010,8000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2011,8000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2012,14000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2013,8000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,medical ed,2014,10000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,other,2002,17000
north carolina academy of family physicians,academy of family physicians,north carolina,medical,physician,family,promotions rx,2003,570
north carolina academy of physician assistants,academy of physician assistants,north carolina,medical,physician assistant,other,conventions,2003,1300
north carolina academy of physician assistants,academy of physician assistants,north carolina,medical,physician assistant,other,conventions,2012,1200
north carolina academy of physician assistants,academy of physician assistants,north carolina,medical,physician assistant,other,medical ed,2007,1500
north carolina assoc of pharmacist,assoc of pharmacist,north carolina,medical,pharmacist,other,conventions,2002,750
north carolina assoc of pharmacist,assoc of pharmacist,north carolina,medical,pharmacist,other,lecture program,2003,1700
north carolina assoc of pharmacist,assoc of pharmacist,north carolina,medical,pharmacist,other,medical ed,2009,1000
north carolina assoc of pharmacist,assoc of pharmacist,north carolina,medical,pharmacist,other,other,2003,2500
north carolina association of chiefs of police,NA,NA,NA,,NA,lele,2011,500
north carolina chapter of american society of consulta,NA,NA,NA,,NA,lecture program,2002,650
north carolina national assoc of directors of nursing,assoc of directors of nursing administration,north carolina,medical,nurse,other,lecture programs,2004,2000
north carolina nurses association,nurses association,north carolina,medical,nurse,other,lecture program,2003,4500
north carolina nurses association,nurses association,north carolina,medical,nurse,other,medical ed,2004,2000
north carolina sheriffs assoc,sheriffs assoc,north carolina,law enforcement,,sheriff's association,executive admin,2003,100
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,conventions,2002,250
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,lecture program,2002,500
north central florida chapter oncology nursing societ,oncology nursing society,florida,medical,nurse,oncology,lecture program,2003,2450
north central west virginia chapter of oncology nursing society,oncology nursing society,virginia,medical,nurse,oncology,lecture program,2003,750
north dakata medical association,medical association,north dakota,other,,other,lecture program,2002,6591
north dakata medical association,medical association,north dakota,other,,other,lecture programs,2003,600
north dakota nurse practitioner association,nurse practitioner association,north dakota,medical,nurse,other,conventions,2010,500
north dakota nurse practitioner association,nurse practitioner association,north dakota,medical,nurse,other,conventions,2011,500
north dakota nurse practitioner association,nurse practitioner association,north dakota,medical,nurse,other,conventions,2012,500
north dakota nurse practitioner association,nurse practitioner association,north dakota,medical,nurse,other,conventions,2014,500
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2002,150
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2003,150
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2004,150
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2005,150
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2006,300
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2007,300
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2009,300
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2011,500
north dakota state board of pharmacy,state board of pharmacy,north dakota,medical,pharmacist,other,general counsel,2012,200
north dakota state board of pharmacy,NA,NA,NA,,NA,general counsel,2012,400
north dakota state board of pharmacy,NA,NA,NA,,NA,sales force,2002,250
northeast florida oncology nursing society,oncology nursing society,florida,medical,nurse,oncology,lecture program,2002,1500
northeast florida society of health-system pharmacists,society of health system pharmacists,florida,medical,pharmacist,other,conventions,2004,500
northeast florida society of health-system pharmacists,society of health system pharmacists,florida,medical,pharmacist,other,conventions,2010,500
northeast louisiana society of health system pharmacis,society of health system pharmacists,louisiana,medical,pharmacist,other,lecture program,2002,1850
northeast ohio nurse practitioners,northeast nurse practitioners,ohio,medical,nurse,other,conventions,2003,500
northeastern illnois pharmacists association,pharmacists association,illinois,medical,pharmacist,other,medical ed,2002,1000
northeastern pennsylvania rehabilitation nurses,northeastern rehabilitation nurses,pennsylvania,other,,physical/rehab,sales force,2002,300
northeastern wisconsin oncology nursing society,oncology nursing society,wisconsin,medical,nurse,oncology,conventions,2004,250
northern michigan pharmcists assoc,northern pharmcists assoc,michigan,medical,pharmacist,other,lecture program,2002,2000
northwest florida chapter oncology nursing society,northwest chapter oncology nursing society,florida,medical,nurse,oncology,conventions,2003,500
northwest pharmacist association,pharmacists association,none,medical,pharmacist,other,lecture program,2002,1000
northwest pharmacist association,pharmacists association,none,medical,pharmacist,other,lecture program,2003,3500
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,conventions,2003,2150
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,conventions,2004,1000
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,conventions,2012,750
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,medical ed,2003,27000
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,medical ed,2011,7500
npace nurse pract assoc for continuing ed,npace nurse pract assoc for continuing ed,none,medical,nurse,other,medical ed,2012,18500
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,medical ed,2005,69720
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,medical ed,2010,65000
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,pur pharma fund,2010,55000
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,st. gov leg  aff,2009,37500
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,st. gov leg  aff,2010,87500
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,st. gov leg  aff,2011,47500
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,st. gov leg  aff,2012,47500
nurse practitioner healthcare foundation,nurse practitioner association,none,medical,nurse,other,st. gov leg  aff,2013,10000
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,conventions,2003,500
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,conventions,2004,1500
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,conventions,2006,500
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,conventions,2010,650
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,conventions,2011,650
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,lecture program,2002,1000
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,managedcare ff,2003,400
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,marketing,2004,1000
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,medical ed,2013,2500
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,par against,2003,3000
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,prof relations,2004,1000
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,public affairs,2011,1725
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,st. gov leg  aff,2003,750
ohio academy of family physicians,academy of family physicians,ohio,medical,physician,family,st. gov leg  aff,2006,1927.6
ohio academy of pain medicine,academy of pain medicine,ohio,other,,pain,medical ed,2003,7500
ohio association of chiefs of polic,association of chiefs of police,ohio,law enforcement,,association of police chiefs,analgesic,2003,175
ohio association of chiefs of polic,association of chiefs of police,ohio,law enforcement,,association of police chiefs,lele,2003,550
ohio association of chiefs of polic,association of chiefs of police,ohio,law enforcement,,association of police chiefs,lele,2004,550
ohio chapter american college of surgeons,chapter college of surgeons,ohio,medical,physician,surgery,lecture program,2002,750
ohio hospice and palliative care organization,hospice and palliative care,ohio,other,,hospice,lecture program,2002,2500
ohio hospice and palliative care organization,hospice and palliative care,ohio,other,,hospice,medical ed,2004,2500
ohio hospice and palliative care organization,hospice and palliative care,ohio,other,,hospice,medical ed,2005,2500
ohio hospice and palliative care organization,hospice and palliative care,ohio,other,,hospice,medical ed,2006,3000
ohio hospice and palliative care organization,hospice and palliative care,ohio,other,,hospice,pur pharma fund,2004,15000
ohio marshal cnty pharmacists assoc,pharmacists association,ohio,medical,pharmacist,other,lecture program,2003,1750
ohio marshal cnty pharmacists assoc,pharmacists association,ohio,medical,pharmacist,other,medical ed,2004,1000
ohio marshal cnty pharmacists assoc,pharmacists association,ohio,medical,pharmacist,other,sales force,2002,250
ohio marshall county pharmacists association,pharmacists association,ohio,medical,pharmacist,other,conventions,2008,499
ohio medical directors association,medical directors association,ohio,medical,medical director,other,medical ed,2007,2500
ohio medical education foundation,medical education foundation,ohio,other,,other,mkt intrnt strt,2003,16000
ohio osteopathic association,osteopathic association,ohio,other,,osteopathic,conventions,2003,1200
ohio osteopathic association,osteopathic association,ohio,other,,osteopathic,conventions,2004,1200
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,conventions,2005,1200
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,conventions,2011,1200
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,conventions,2013,1200
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,conventions,2014,1500
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,lecture program,2003,1500
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,medical ed,2007,2000
ohio osteopathic foundation,osteopathic foundation,ohio,other,,osteopathic,medical ed,2008,2000
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,analgesic,2007,500
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,conventions,2004,725
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,conventions,2007,825
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,conventions,2008,850
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,conventions,2014,3350
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,lecture program,2003,1500
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,managedcare ff,2002,725
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,managedcare ff,2003,725
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,medical ed,2002,1500
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,medical ed,2004,500
ohio pharmacists association,pharmacists association,ohio,medical,pharmacist,other,medical ed,2006,1000
ohio pharmacists foundation,pharmacists association,ohio,medical,pharmacist,other,conventions,2013,1100
ohio pharmacists foundation,pharmacists association,ohio,medical,pharmacist,other,medical ed,2005,24000
ohio pharmacists foundation,pharmacists association,ohio,medical,pharmacist,other,medical ed,2012,3000
ohio society of health system pharmacists,society of health system pharmacists,ohio,medical,pharmacist,other,lecture program,2002,775
ohio society of health system pharmacists,society of health system pharmacists,ohio,medical,pharmacist,other,prof relations,2003,1000
ohio state medical association,state medical association,ohio,other,,other,conventions,2002,600
ohio state medical association,state medical association,ohio,other,,other,medical ed,2012,10000
ohio state society of the american college of osteopathic,society of the college of osteopathic,ohio,other,,osteopathic,conventions,2003,750
ok chapter of national assoc of directors of nursing admin,chapter of assoc of directors of nursing admin,oklahoma,medical,nurse,other,medical ed,2003,10000
oklahoma academy of,academy of,oklahoma,other,,other,conventions,2012,1000
oklahoma academy of,academy of,oklahoma,other,,other,promotions rx,2012,1000
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,conventions,2002,1200
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,conventions,2004,1700
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,conventions,2005,1200
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,lecture program,2003,2500
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,managedcare ff,2002,500
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,managedcare ff,2003,1700
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,medical ed,2004,1250
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,medical ed,2009,10000
oklahoma osteopathic association,osteopathic association,oklahoma,other,,osteopathic,medical ed,2010,10000
oklahoma pharmacists assoc,pharmacists association,oklahoma,medical,pharmacist,other,lecture programs,2003,820
oklahoma pharmacists assoc,pharmacists association,oklahoma,medical,pharmacist,other,managedcare ff,2002,700
oklahoma pharmacists assoc,pharmacists association,oklahoma,medical,pharmacist,other,medical ed,2005,1500
oklahoma society of health system pharmacists,society of health system pharmacists,oklahoma,medical,pharmacist,other,dom oth inc_exp,2007,1500
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2002,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2003,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2004,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2005,550
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2006,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2007,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2008,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2009,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2010,400
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2011,800
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2012,600
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2013,600
oklahoma state board of pharmacy,state board of pharmacy,oklahoma,medical,pharmacist,other,general counsel,2014,600
oncology nurses society,oncology nursing society,none,medical,nurse,oncology,conventions,2002,59900
oncology nurses society,oncology nursing society,none,medical,nurse,oncology,conventions,2003,7000
oncology nurses society,oncology nursing society,none,medical,nurse,oncology,conventions,2005,16650
oncology nurses society,oncology nursing society,none,medical,nurse,oncology,conventions,2006,8700
oncology nurses society,oncology nursing society,none,medical,nurse,oncology,new prod-budget,2005,16650
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2003,70725
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2004,280
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2005,35000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2006,2900
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2008,6090
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2009,6290
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,general counsel,2004,7500
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,lecture program,2002,7500
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2002,66481.83
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2003,68720
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2004,64615
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2005,44442.35
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2009,7000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2010,5000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2011,5000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2012,20520
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2013,5000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,medical ed,2014,5000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,mkt intrnt strt,2003,50000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,other,2002,12000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,other,2003,5000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,other,2004,50000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,other,2008,12000
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,public affairs,2003,85
oncology nursing society,oncology nursing society,none,medical,nurse,oncology,st. gov leg  aff,2011,3000
oncology nursing society little rock chapter,oncology nursing society,none,medical,nurse,oncology,lecture programs,2003,1600
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,conventions,2002,300
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,conventions,2008,700
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,conventions,2011,500
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,conventions,2013,500
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,conventions,2014,500
oncology nursing society puget sound chapter,oncology nursing society,none,medical,nurse,oncology,lecture program,2003,750
ons foundation,NA,NA,NA,,NA,medical ed,2002,7500
ons foundation,NA,NA,NA,,NA,medical ed,2003,12200
ons foundation,NA,NA,NA,,NA,medical ed,2004,12200
ons foundation,NA,NA,NA,,NA,medical ed,2007,12200
ons foundation,NA,NA,NA,,NA,medical ed,2008,10220
ons foundation,NA,NA,NA,,NA,medical ed,2009,12000
ons foundation,NA,NA,NA,,NA,medical ed,2010,12000
ons foundation,NA,NA,NA,,NA,medical ed,2011,12000
ons foundation,NA,NA,NA,,NA,medical ed,2012,15000
ons foundation,NA,NA,NA,,NA,medical ed,2013,30000
ons foundation,NA,NA,NA,,NA,medical ed,2014,5000
ons foundation,NA,NA,NA,,NA,other,2005,12200
orange chapter oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2003,500
oregon geriatrics society,geriatrics society,oregon,other,,geriatrics,conventions,2011,1950
oregon medical directors association,medical directors association,oregon,medical,medical director,other,medical ed,2002,3000
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2002,450
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2003,800
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2004,500
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2007,650
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2008,400
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2009,650
oregon nurse association,nurses association,oregon,medical,nurse,other,conventions,2014,725
oregon soc of consultant pharmacists,society of consultant pharmacists,oregon,medical,pharmacist,other,conventions,2007,750
oregon soc of consultant pharmacists,society of consultant pharmacists,oregon,medical,pharmacist,other,lecture programs,2003,1000
oregon society of health system pharmacists,society of health system pharmacists,oregon,medical,pharmacist,other,conventions,2004,750
oregon society of health system pharmacists,society of health system pharmacists,oregon,medical,pharmacist,other,medical ed,2008,2000
oregon society of physician assista,society of physician assistance,oregon,medical,physician assistant,other,conventions,2002,500
oregon society of physician assista,society of physician assistance,oregon,medical,physician assistant,other,conventions,2007,700
oregon society of physician assista,society of physician assistance,oregon,medical,physician assistant,other,conventions,2011,700
oregon society of physician assista,society of physician assistance,oregon,medical,physician assistant,other,medical ed,2003,750
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,conventions,2005,750
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,conventions,2007,600
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,conventions,2011,750
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2002,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2003,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2004,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2005,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2006,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2007,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2008,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2009,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2010,900
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2011,1600
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2012,1700
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,general counsel,2013,1450
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,lecture program,2002,4200
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,lecture program,2003,1500
oregon state board of pharmacy,state board of pharmacy,oregon,medical,pharmacist,other,medical ed,2003,2250
orthopaedic research & education foundation,orthopaedic research & education foundation,none,other,,orthopaedic,medical ed,2005,1000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,other,,orthopaedic,medical ed,2010,10000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,other,,orthopaedic,medical ed,2011,7500
orthopaedic research & education foundation,orthopaedic research & education foundation,none,other,,orthopaedic,prof relations,2004,1000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,other,,orthopaedic,st. gov leg  aff,2007,2500
orthopaedic research & education foundation,NA,NA,NA,,NA,medical ed,2002,2500
pain connection,NA,NA,NA,,NA,medical ed,2011,5000
pain connection,NA,NA,NA,,NA,st. gov leg  aff,2012,15000
pain connection,NA,NA,NA,,NA,st. gov leg  aff,2014,10000
pain society of the carolinas inc,pain society of the carolinas inc,none,other,,pain,conventions,2010,2000
pain society of the carolinas inc,pain society of the carolinas inc,none,other,,pain,conventions,2011,2000
pain society of the carolinas inc,pain society of the carolinas inc,none,other,,pain,conventions,2013,2000
pain society of the carolinas inc,pain society of the carolinas inc,none,other,,pain,conventions,2014,3350
pain society of the carolinas inc,pain society of the carolinas inc,none,other,,pain,conventions,2015,1250
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,pur pharma fund,2003,3000
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,pur pharma fund,2004,3000
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,pur pharma fund,2012,100
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2007,350
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2008,350
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2009,1250
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2010,1000
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2011,1250
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2012,6000
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2013,5700
pancreatic cancer action network,pancreatic cancer action network,none,other,,oncology,st. gov leg  aff,2014,5000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,patient & professional relations,2014,225000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,public affairs,2004,2497.36
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,public affairs,2012,25000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,public affairs,2013,17500
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,public affairs,2014,25000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2003,260000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2004,251000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2005,250000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2006,27500
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2007,7250
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2008,166000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2009,500000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2010,725000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2011,725000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,pur pharma fund,2013,75250
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,st. gov leg  aff,2012,775000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,st. gov leg  aff,2013,350000
partnership for a drug free america inc,partnership for a drug free america inc,none,anti-drug non-profit,,other,st. gov leg  aff,2014,100000
