organization,broad_org,state,type,position,subtype,department,year,amount
penns wood chapter of the oncology nursing society,oncology nursing society,none,medical,nurse,oncology,conventions,2007,500
south jersey chapter of ons,oncology nursing society,none,medical,nurse,oncology,lecture program,2002,250
toledo area oncology nursing soc,oncology nursing society,none,medical,nurse,oncology,conventions,2002,250
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,medical ed,2005,1000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,medical ed,2010,10000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,medical ed,2011,7500
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,prof relations,2004,1000
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,st. gov leg  aff,2007,2500
orthopaedic research & education foundation,orthopaedic research & education foundation,none,medical,education,orthopaedic,medical ed,2002,2500
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,medical,general,addiction,medical ed,2004,5000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,medical,general,addiction,medical ed,2005,5000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,medical,general,addiction,medical ed,2008,6000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,medical,general,addiction,medical ed,2009,2500
american osteopathic assn,osteopathic association,none,medical,general,addiction,conventions,2002,14700
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2003,51600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2004,18450
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2006,38100
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2009,43200
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2011,82600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,conventions,2012,110000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,market strategies,2003,2500
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,marketing,2004,20000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,medical ed,2003,5850
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,medical ed,2005,13200
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,medical ed,2007,227000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,medical ed,2012,100000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,new prod-budget,2011,41100
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,prof relations,2003,1000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,professional rels,2004,253000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,pur pharma fund,2010,175000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,pur pharma fund,2011,278250
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,pur pharma fund,2013,230500
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2006,34000
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2007,50600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2008,32250
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2009,14600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2010,94600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2011,14600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2012,54600
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2013,55150
american osteopathic assn,osteopathic association,none,medical,general,osteopathic,st. gov leg  aff,2014,100000
american osteopathic college of anesthesiologists,osteopathic college of anesthesiologists,none,medical,general,anesthesia,dom oth inc_exp,2007,750
american osteopathic college of anesthesiologists,osteopathic college of anesthesiologists,none,medical,general,anesthesia,medical ed,2003,750
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,medical,general,physical/rehab,conventions,2012,2000
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,medical,general,physical/rehab,conventions,2013,850
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,medical,general,physical/rehab,conventions,2014,2000
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,medical,general,physical/rehab,medical ed,2006,1000
american osteopathic information association,osteopathic information association,none,medical,general,osteopathic,marketing,2006,75000
american osteopathic information association,osteopathic information association,none,medical,general,osteopathic,par against,2004,74000
monroe osteopathic medical association,osteopathic medical assoc,none,medical,general,osteopathic,conventions,2012,1495
monroe osteopathic medical association,osteopathic medical assoc,none,medical,general,osteopathic,conventions,2013,1495
monroe osteopathic medical association,osteopathic medical assoc,none,medical,general,osteopathic,conventions,2014,1495
monroe osteopathic medical association,osteopathic medical assoc,none,medical,general,osteopathic,medical ed,2009,2700
monroe osteopathic medical association,osteopathic medical assoc,none,medical,general,osteopathic,medical ed,2010,5800
pain connection,pain connection,none,medical,general,pain,medical ed,2011,5000
pain connection,pain connection,none,medical,general,pain,st. gov leg  aff,2012,15000
pain connection,pain connection,none,medical,general,pain,st. gov leg  aff,2014,10000
state of west virginia attorney generals office,state attorney generals office,west virginia,settlement,NA,NA,other,2007,2500000
american pain foundation,pain foundation,none,medical,general,pain,hecon,2003,500
american pain foundation,pain foundation,none,medical,general,pain,par against,2002,15000
american pain foundation,pain foundation,none,medical,general,pain,par against,2003,186495.15
american pain foundation,pain foundation,none,medical,general,pain,par against,2009,25000
american pain foundation,pain foundation,none,medical,general,pain,public affairs,2004,87
american pain foundation,pain foundation,none,medical,general,pain,public affairs,2009,15000
american pain foundation,pain foundation,none,medical,general,pain,public affairs,2010,10000
american pain foundation,pain foundation,none,medical,general,pain,public affairs,2011,3711.54
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2003,268000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2004,250000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2005,200210
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2006,65000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2007,76150
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2008,240000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2009,190000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2010,210000
american pain foundation,pain foundation,none,medical,general,pain,pur pharma fund,2011,215250
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2003,5000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2005,51000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2006,112037
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2007,155000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2008,135000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2009,45000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2010,226500
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2011,150000
american pain foundation,pain foundation,none,medical,general,pain,st. gov leg  aff,2012,25000
us pain foundation inc,pain foundation,none,medical,general,pain,patient & professional relations,2014,30000
us pain foundation inc,pain foundation,none,medical,general,pain,patient & professional relations,2015,25000
us pain foundation inc,pain foundation,none,medical,general,pain,public affairs,2014,300
us pain foundation inc,pain foundation,none,medical,general,pain,pur pharma fund,2010,12500
us pain foundation inc,pain foundation,none,medical,general,pain,pur pharma fund,2011,30000
us pain foundation inc,pain foundation,none,medical,general,pain,pur pharma fund,2012,30000
us pain foundation inc,pain foundation,none,medical,general,pain,pur pharma fund,2013,50000
us pain foundation inc,pain foundation,none,medical,general,pain,pur pharma fund,2014,25000
us pain foundation inc,pain foundation,none,medical,general,pain,st. gov leg  aff,2013,9500
us pain foundation inc,pain foundation,none,medical,general,pain,st. gov leg  aff,2014,49500
american pain society,pain society,none,medical,general,pain,analgesic,2003,670
american pain society,pain society,none,medical,general,pain,analgesic,2005,300
american pain society,pain society,none,medical,general,pain,clin data op tec,2002,380
american pain society,pain society,none,medical,general,pain,clin pln cmgmt,2002,275
american pain society,pain society,none,medical,general,pain,clinical pharm,2002,50
american pain society,pain society,none,medical,general,pain,clinical rsch,2002,2550
american pain society,pain society,none,medical,general,pain,clinical rsch 3,2012,25000
american pain society,pain society,none,medical,general,pain,conventions,2002,9000
american pain society,pain society,none,medical,general,pain,conventions,2003,27000
american pain society,pain society,none,medical,general,pain,conventions,2004,39600
american pain society,pain society,none,medical,general,pain,conventions,2006,12900
american pain society,pain society,none,medical,general,pain,conventions,2007,28500
american pain society,pain society,none,medical,general,pain,conventions,2008,30000
american pain society,pain society,none,medical,general,pain,conventions,2009,66500
american pain society,pain society,none,medical,general,pain,conventions,2010,21000
american pain society,pain society,none,medical,general,pain,conventions,2011,57500
american pain society,pain society,none,medical,general,pain,conventions,2012,30000
american pain society,pain society,none,medical,general,pain,conventions,2013,10000
american pain society,pain society,none,medical,general,pain,conventions,2014,5000
american pain society,pain society,none,medical,general,pain,conventions,2015,15000
american pain society,pain society,none,medical,general,pain,hecon,2002,150
american pain society,pain society,none,medical,general,pain,market strategies,2002,400
american pain society,pain society,none,medical,general,pain,marketing,2004,5000
american pain society,pain society,none,medical,general,pain,marketing,2005,42000
american pain society,pain society,none,medical,general,pain,medical ed,2002,65000
american pain society,pain society,none,medical,general,pain,medical ed,2004,90000
american pain society,pain society,none,medical,general,pain,medical ed,2005,14000
american pain society,pain society,none,medical,general,pain,medical ed,2006,2000
american pain society,pain society,none,medical,general,pain,medical ed,2007,2000
american pain society,pain society,none,medical,general,pain,medical ed,2008,2000
american pain society,pain society,none,medical,general,pain,medical ed,2009,6515
american pain society,pain society,none,medical,general,pain,medical ed,2010,40000
american pain society,pain society,none,medical,general,pain,medical ed,2011,33465
american pain society,pain society,none,medical,general,pain,medical ed,2012,15000
american pain society,pain society,none,medical,general,pain,medical ed,2013,23480
american pain society,pain society,none,medical,general,pain,medical ed,2014,25000
american pain society,pain society,none,medical,general,pain,medical servs,2002,1611.45
american pain society,pain society,none,medical,general,pain,mkt intrnt strt,2003,44520
american pain society,pain society,none,medical,general,pain,neurarm,2002,190
american pain society,pain society,none,medical,general,pain,other,2002,69000
american pain society,pain society,none,medical,general,pain,other,2004,40000
american pain society,pain society,none,medical,general,pain,par against,2003,380967.3
american pain society,pain society,none,medical,general,pain,par against,2004,95002.5
american pain society,pain society,none,medical,general,pain,par against,2005,92750
american pain society,pain society,none,medical,general,pain,par against,2006,40767.5
american pain society,pain society,none,medical,general,pain,par against,2008,10550
american pain society,pain society,none,medical,general,pain,professional rels,2003,5000
american pain society,pain society,none,medical,general,pain,professional rels,2004,42000
american pain society,pain society,none,medical,general,pain,professional rels,2005,5000
american pain society,pain society,none,medical,general,pain,promotions rx,2002,236923.7
american pain society,pain society,none,medical,general,pain,promotions rx,2003,150000
american pain society,pain society,none,medical,general,pain,public affairs,2003,695
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2006,47190
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2007,50190
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2008,78880
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2009,70000
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2010,70000
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2011,55000
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2012,53465
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2013,60000
american pain society,pain society,none,medical,general,pain,st. gov leg  aff,2014,60000
western pain society,pain society,none,medical,general,pain,medical ed,2008,15000
western pain society,pain society,none,medical,general,pain,medical ed,2009,15000
western pain society,pain society,none,medical,general,pain,medical ed,2010,15000
western pain society,pain society,none,medical,general,pain,medical ed,2011,15000
western pain society,pain society,none,medical,general,pain,medical ed,2012,15000
western pain society,pain society,none,medical,general,pain,medical ed,2013,15000
western pain society,pain society,none,medical,general,pain,st. gov leg  aff,2007,2500
western pain society,pain society,none,medical,general,pain,st. gov leg  aff,2009,7500
southern pain society,pain society,none,medical,general,pain,conventions,2007,750
southern pain society,pain society,none,medical,general,pain,medical ed,2012,500
pain society of the carolinas inc,pain society ,none,medical,general,pain,conventions,2010,2000
pain society of the carolinas inc,pain society ,none,medical,general,pain,conventions,2011,2000
pain society of the carolinas inc,pain society ,none,medical,general,pain,conventions,2013,2000
pain society of the carolinas inc,pain society ,none,medical,general,pain,conventions,2014,3350
pain society of the carolinas inc,pain society ,none,medical,general,pain,conventions,2015,1250
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,pur pharma fund,2003,3000
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,pur pharma fund,2004,3000
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,pur pharma fund,2012,100
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2007,350
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2008,350
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2009,1250
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2010,1000
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2011,1250
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2012,6000
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2013,5700
pancreatic cancer action network,pancreatic cancer action network,none,medical,general,oncology,st. gov leg  aff,2014,5000
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,general counsel,2007,180.2
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,human resources,2002,840
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,public affairs,2005,700
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,st. gov leg  aff,2012,45000
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,st. gov leg  aff,2013,30000
connecticut business & industry association inc,business & industry association inc,connecticut,trade association,NA,NA,st. gov leg  aff,2015,32000
slc kentucky night reception kentucky retail federation,retail federation,kentucky,trade association,NA,NA,government aff,2002,300
slc kentucky night reception kentucky retail federation,retail federation,kentucky,trade association,NA,NA,st. gov leg  aff,2004,200
slc kentucky night reception kentucky retail federation,retail federation,kentucky,trade association,NA,NA,st. gov leg  aff,2005,150
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,corp quality,2002,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,direct mfg o_h,2003,640
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,executive admin,2004,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,human resources,2002,1245
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,isqa,2002,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,marketing,2003,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,ppmd,2002,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,ppmd - qa,2007,600
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,preclin phar an,2003,950
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,pur pharma fund,2003,2750
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,pur pharma fund,2004,3000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,pur pharma fund,2005,156500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,pur pharma fund,2006,151500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2003,250
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2005,250
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2007,152000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2008,12500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2009,1010000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2010,1020000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2011,1000000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2012,1065000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2013,510000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,general,st. gov leg  aff,2014,7500
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,general,pur pharma fund,2006,10000
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,general,st. gov leg  aff,2011,5000
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,general,st. gov leg  aff,2012,10000
pediatric anesthesiology foundation,pediatric anesthesiology foundation,none,medical,general,"pediatric, anesthesia",sales force,2002,350
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,chemical dev,2003,825
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,dom oth inc_exp,2015,1211751
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,executive admin,2014,1249746
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2004,11506.25
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2008,1062434
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2009,2474730
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2010,3770300
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2011,1304565
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2012,2439868
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,fed gov affairs,2013,2401696
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2003,18695
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2004,6050
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2005,3000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2006,16500
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2007,42900
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2008,25000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2009,7000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2010,5750
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2011,5100
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2012,10000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2013,9650
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,general counsel,2014,5917
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,medical ed,2002,50000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2002,878299
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2003,2427230.33
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2004,1669814
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2005,250000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2006,125000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,public affairs,2007,250000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,st. gov leg  aff,2006,250
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,st. gov leg  aff,2007,2200
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,medical,general,general,st. gov leg  aff,2014,1176457
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,conventions,2004,28800
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,medical ed,2003,10000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,medical ed,2006,20000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,medical ed,2010,12000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,medical ed,2011,26000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,general,prof relations,2004,800000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,conventions,2002,56800
american pharmacists association,pharmacists association,none,medical,pharmacist,general,conventions,2003,28800
american pharmacists association,pharmacists association,none,medical,pharmacist,general,conventions,2010,29400
american pharmacists association,pharmacists association,none,medical,pharmacist,general,conventions,2015,34300
american pharmacists association,pharmacists association,none,medical,pharmacist,general,executive admin,2003,205
american pharmacists association,pharmacists association,none,medical,pharmacist,general,market strategies,2003,750439.65
american pharmacists association,pharmacists association,none,medical,pharmacist,general,market strategies,2006,42000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2002,63000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2003,59500
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2005,414800
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2007,35300
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2008,100000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2009,47500
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2011,20000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2013,11250
american pharmacists association,pharmacists association,none,medical,pharmacist,general,medical ed,2014,50000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,merchandise otc,2007,12500
american pharmacists association,pharmacists association,none,medical,pharmacist,general,mkt intrnt strt,2002,20000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,nonclinical admn,2002,195
american pharmacists association,pharmacists association,none,medical,pharmacist,general,nonclinical admn,2003,205
american pharmacists association,pharmacists association,none,medical,pharmacist,general,pharm tech,2002,195
american pharmacists association,pharmacists association,none,medical,pharmacist,general,pharm tech,2003,850
american pharmacists association,pharmacists association,none,medical,pharmacist,general,pharmaceutics,2002,2550
american pharmacists association,pharmacists association,none,medical,pharmacist,general,professional rels,2005,600000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,promotions rx,2002,752245
american pharmacists association,pharmacists association,none,medical,pharmacist,general,pur pharma fund,2009,5000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2006,151000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2007,104722
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2008,38028
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2009,42800
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2010,16000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2011,85000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2012,70000
american pharmacists association,pharmacists association,none,medical,pharmacist,general,st. gov leg  aff,2013,30000
luzerne county pharmacists association inc,pharmacists association,none,medical,pharmacist,general,lecture program,2002,1200
northwest pharmacist association,pharmacists association,none,medical,pharmacist,general,lecture program,2002,1000
northwest pharmacist association,pharmacists association,none,medical,pharmacist,general,lecture program,2003,3500
south bay pharmacists assoc,pharmacists association,none,medical,pharmacist,general,lecture program,2002,1000
south bay pharmacists assoc,pharmacists association,none,medical,pharmacist,general,medical ed,2006,2400
south suburban pharmacists association,pharmacists association,none,medical,pharmacist,general,lecture program,2002,3000
pqa inc pharmacy quality alliance,pharmacy quality alliance,none,medical,pharmacist,general,health policy,2012,15546
pqa inc pharmacy quality alliance,pharmacy quality alliance,none,medical,pharmacist,general,health policy,2013,55000
pqa inc pharmacy quality alliance,pharmacy quality alliance,none,medical,pharmacist,general,health policy,2014,3500
pqa inc pharmacy quality alliance,pharmacy quality alliance,none,medical,pharmacist,general,health policy,2015,27500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,quality assur,2004,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,quality control,2004,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2003,69494
prostate net inc,prostate net inc,none,medical,general,oncology,medical ed,2008,9579
prostate net inc,prostate net inc,none,medical,general,oncology,medical ed,2009,5000
prostate net inc,prostate net inc,none,medical,general,oncology,pur pharma fund,2003,15000
prostate net inc,prostate net inc,none,medical,general,oncology,pur pharma fund,2004,5000
prostate net inc,prostate net inc,none,medical,general,oncology,st. gov leg  aff,2007,250
american psychiatric association,psychiatric association,none,medical,general,psychiatry,clinical rsch,2002,3485
american psychiatric association,psychiatric association,none,medical,general,psychiatry,promotions rx,2002,600
american psychiatric association,psychiatric association,none,medical,general,psychiatry,promotions rx,2013,2222.64
american psychiatric foundation,psychiatric foundation,none,medical,general,psychiatry,prof relations,2003,1000
apa division 28 psychopharmacology,psychology association,none,medical,pharmacist,psychology,st. gov leg  aff,2013,1000
american public health association,public health association,none,medical,general,public health,market strategies,2003,2150
rare project,rare project,none,medical,patient advocacy,developmental disability,st. gov leg  aff,2013,16000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,medical ed,2010,10000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,medical ed,2011,20000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,pur pharma fund,2002,30000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,pur pharma fund,2003,35000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,pur pharma fund,2004,35000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,pur pharma fund,2005,35000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,pur pharma fund,2008,3000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2006,5000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2007,5000
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2008,12500
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2009,12500
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2010,12500
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2011,12500
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2012,17500
